state,trump_polling_average,harris_polling_average,date,lead,candidate_lead,electoral_votes,position
alabama,,,,,trump,9,republican
alaska,,,,,trump,3,republican
arizona,48.1275,46.7608,2024-10-09,1.37,trump,11,battleground_trump
arkansas,,,,,trump,6,republican
california,34.7898,59.6509,2024-10-09,24.86,harris,54,democrat
colorado,,,,,harris,10,democrat
connecticut,,,,,harris,7,democrat
delaware,,,,,harris,3,democrat
florida,50.2963,45.14175,2024-10-09,5.15,trump,30,lean_trump
georgia,48.1869,47.2162,2024-10-09,0.97,trump,16,battleground_trump
hawaii,,,,,harris,4,democrat
idaho,,,,,trump,4,republican
illinois,,,,,harris,19,democrat
indiana,,,,,trump,11,republican
iowa,,,,,trump,6,republican
kansas,,,,,trump,6,republican
kentucky,,,,,trump,8,republican
louisiana,,,,,trump,8,republican
maine,,,,,harris,4,democrat
maryland,32.9708,61.65765,2024-10-09,28.69,harris,10,democrat
massachusetts,,,,,harris,11,democrat
michigan,46.81515,47.825199999999995,2024-10-09,1.01,harris,15,battleground_harris
minnesota,44.02705,49.8127,2024-10-09,5.79,harris,10,lean_harris
mississippi,,,,,trump,6,republican
missouri,53.819050000000004,41.5372,2024-10-09,12.28,trump,10,republican
montana,55.6302,38.86395,2024-10-09,16.77,trump,4,republican
nebraska,,,,,trump,5,republican
nevada,46.9841,47.81015,2024-10-09,0.83,harris,6,battleground_harris
new_hampshire,,,,,harris,4,democrat
new_jersey,,,,,harris,14,democrat
new_mexico,41.941900000000004,50.06835,2024-10-09,8.13,harris,5,democrat
new_york,39.71375,53.668850000000006,2024-10-09,13.96,harris,28,democrat
north_carolina,48.205299999999994,47.20425,2024-10-09,1.0,trump,16,battleground_trump
north_dakota,,,,,trump,3,republican
ohio,,,,,trump,17,republican
oklahoma,,,,,trump,7,republican
oregon,,,,,harris,8,democrat
pennsylvania,47.28445,48.09665,2024-10-09,0.81,harris,19,battleground_harris
rhode_island,,,,,harris,4,democrat
south_carolina,,,,,trump,9,republican
south_dakota,,,,,trump,3,republican
tennessee,,,,,trump,11,republican
texas,50.59865,44.1316,2024-10-09,6.47,trump,40,republican
utah,,,,,trump,6,republican
vermont,,,,,harris,3,democrat
virginia,42.73595,50.269800000000004,2024-10-09,7.53,harris,13,democrat
washington,,,,,harris,12,democrat
west_virginia,,,,,trump,4,republican
wisconsin,47.197649999999996,48.0154,2024-10-09,0.82,harris,10,battleground_harris
wyoming,,,,,trump,3,republican
